Token Scale,Paradigm,blimp_avg_mean,blimp_avg_std,blimp_supplement_avg_mean,blimp_supplement_avg_std,comps_avg_mean,comps_avg_std,entity_tracking_avg_mean,entity_tracking_avg_std,eye_tracking_mean,eye_tracking_std,spr_mean,spr_std,boolq_mean,boolq_std,mnli_mean,mnli_std,mrpc_mean,mrpc_std,multirc_mean,multirc_std,qqp_mean,qqp_std,rte_mean,rte_std,wsc_mean,wsc_std
10M,Baseline NTP,59.21,0.533,53.197,1.412,51.0,0.157,30.24,4.662,0.633,0.179,0.253,0.155,69.013,0.715,34.67,0.403,80.787,0.075,58.937,0.682,1.17,0.087,52.76,0.416,61.54,0.0
10M,Post-train NSP,57.073,0.67,52.523,1.491,50.987,0.293,33.283,2.5,0.047,0.04,0.173,0.075,64.77,1.005,34.15,0.06,80.707,0.427,56.97,0.468,1.59,0.892,51.8,1.247,61.54,0.0
10M,Post-train NUP,57.977,0.456,52.627,0.806,51.2,0.407,36.563,3.086,0.137,0.1,0.187,0.057,65.79,0.211,34.467,0.206,80.35,0.35,57.247,0.244,1.453,0.927,54.917,2.195,61.54,0.0
10M,Dyck Pre-train,59.98,0.608,51.647,1.296,50.75,0.284,29.623,8.773,0.52,0.225,0.143,0.045,68.89,0.183,34.543,0.119,80.627,0.271,58.967,0.693,1.18,0.017,54.44,0.416,61.54,0.0
10M,POS Pre-train,57.97,0.374,52.677,1.191,50.077,0.549,32.87,7.554,0.397,0.102,0.11,0.066,68.583,0.698,34.523,0.289,81.093,0.179,58.787,1.071,1.097,0.105,54.2,1.812,61.54,0.0
100M,Baseline NTP,62.913,1.243,54.513,1.903,53.37,0.07,21.717,5.595,0.84,0.078,0.03,0.017,68.54,0.139,34.59,0.195,80.64,0.37,58.32,0.479,1.373,0.413,52.04,2.078,61.54,0.0
100M,Post-train NSP,56.063,0.492,51.587,2.255,50.94,0.508,29.56,6.58,0.19,0.036,0.277,0.22,67.79,0.567,34.477,0.208,80.08,0.592,57.4,0.662,1.13,0.131,54.677,3.595,61.54,0.0
100M,Post-train NUP,57.613,0.228,50.283,2.486,51.043,0.208,23.657,7.767,0.34,0.098,0.247,0.178,68.3,0.431,34.637,0.261,80.24,0.6,57.87,0.504,1.367,0.506,53.0,2.2,61.54,0.0
100M,Dyck Pre-train,62.143,0.788,54.157,0.672,52.983,0.189,20.837,2.655,0.88,0.157,0.2,0.147,69.113,0.318,34.82,0.429,80.437,0.417,57.74,0.322,1.097,0.068,52.52,0.72,61.54,0.0
100M,POS Pre-train,61.357,0.208,49.8,0.536,52.04,0.24,21.397,6.752,0.717,0.121,0.08,0.053,69.233,0.723,34.687,0.099,80.94,0.208,59.143,0.765,1.42,1.101,53.72,0.416,61.54,0.0
