Token Scale,Paradigm,Mean PPL,Std PPL,Mean CEL,Std CEL,CN Score,CN Score Std
10M,Baseline NTP,24.05,0.175,3.1801,0.0073,-0.4918,0.0661
10M,Post-train NSP,17.006,0.101,2.8335,0.006,-0.267,0.0327
10M,Post-train NUP,19.395,0.049,2.965,0.0025,-0.4455,0.0731
10M,Dyck Pre-train,27.381,0.115,3.3098,0.0042,-0.5975,0.17
10M,POS Pre-train,35.549,0.303,3.5709,0.0085,-0.256,0.0507
100M,Baseline NTP,14.299,0.03,2.6602,0.0021,-0.167,0.0933
100M,Post-train NSP,25.224,0.034,3.2278,0.0013,-0.3392,0.0923
100M,Post-train NUP,28.785,0.031,3.3599,0.0011,-0.4269,0.0857
100M,Dyck Pre-train,15.363,0.048,2.732,0.0031,-0.231,0.1402
100M,POS Pre-train,18.431,0.021,2.9141,0.0012,-0.3071,0.0337
