timestamp,tag,run,task_type,base_model,warmup_from,epochs,train_tokens,total_tokens,learning_rate,batch_size,CEL,perplexity,CN,BLiMP
2026-05-05T18:58:34Z,stellar-federation-81,1,next_word,EleutherAI/pythia-160m,random_init,1,26404864,26404864,0.00025,8,2.886678457260132,17.93364320178208,"{0: {5: 628, 8: 728, 2: 158, 6: 670, 4: 542, 9: 551, 7: 639, 12: 164, 10: 364, 3: 313, 11: 194, 1: 49}, 1: {3: 661, 2: 770, 1: 1660, 9: 96, 5: 398, 4: 600, 8: 172, 6: 336, 7: 267, 10: 30, 11: 7, 12: 3}, 2: {7: 467, 10: 764, 8: 484, 6: 341, 11: 930, 12: 640, 2: 63, 9: 713, 4: 206, 5: 280, 3: 99, 1: 13}, 3: {1: 511, 5: 416, 3: 496, 4: 387, 7: 378, 11: 414, 10: 386, 9: 379, 6: 417, 2: 661, 12: 159, 8: 396}, 4: {4: 655, 9: 207, 1: 351, 5: 567, 3: 878, 6: 527, 2: 745, 7: 403, 8: 385, 10: 177, 11: 88, 12: 17}, 5: {9: 538, 12: 1454, 6: 267, 5: 174, 10: 786, 11: 909, 4: 102, 8: 386, 7: 353, 3: 25, 2: 4, 1: 2}, 6: {11: 269, 7: 670, 5: 632, 8: 662, 9: 503, 6: 690, 12: 138, 3: 348, 4: 481, 10: 421, 2: 155, 1: 31}, 7: {2: 840, 1: 1580, 5: 419, 7: 271, 4: 523, 3: 731, 6: 341, 10: 39, 8: 137, 9: 100, 12: 3, 11: 16}, 8: {8: 470, 6: 322, 11: 867, 12: 765, 10: 743, 7: 473, 9: 694, 5: 269, 3: 122, 4: 223, 1: 6, 2: 46}, 9: {12: 172, 3: 462, 6: 367, 2: 722, 10: 392, 4: 434, 8: 383, 1: 486, 5: 463, 7: 375, 9: 372, 11: 372}, 10: {6: 485, 4: 755, 9: 219, 8: 359, 3: 830, 7: 418, 5: 540, 1: 310, 2: 831, 12: 20, 10: 139, 11: 94}, 11: {10: 759, 11: 840, 12: 1465, 7: 286, 3: 35, 8: 438, 6: 237, 9: 628, 4: 92, 5: 214, 1: 1, 2: 5}}",0.5957014925373134
2026-05-18T21:37:03Z,10m,1,ntp_10m,EleutherAI/pythia-160m,random_init,1,8631296,8631296,0.00025,8,3.1884958744049072,24.251922058936643,"{0: {1: 189, 12: 179, 2: 278, 6: 578, 7: 582, 3: 419, 8: 655, 9: 484, 5: 459, 4: 496, 10: 466, 11: 215}, 1: {4: 668, 1: 1548, 3: 697, 2: 688, 5: 547, 10: 23, 8: 146, 7: 216, 6: 361, 9: 95, 11: 10, 12: 1}, 2: {6: 305, 8: 580, 9: 807, 11: 1091, 10: 695, 7: 553, 12: 633, 4: 95, 3: 49, 5: 173, 1: 3, 2: 16}, 3: {2: 606, 10: 342, 1: 456, 7: 434, 4: 437, 5: 413, 11: 382, 3: 462, 8: 433, 6: 511, 9: 444, 12: 80}, 4: {8: 280, 3: 862, 7: 378, 2: 741, 6: 610, 4: 767, 10: 118, 5: 632, 1: 405, 9: 130, 11: 65, 12: 12}, 5: {11: 817, 9: 522, 12: 1614, 10: 898, 7: 332, 8: 425, 5: 137, 4: 50, 6: 186, 3: 17, 2: 2}, 6: {10: 457, 7: 619, 8: 587, 5: 536, 12: 176, 6: 550, 3: 408, 4: 546, 11: 266, 2: 273, 9: 416, 1: 166}, 7: {5: 597, 2: 803, 4: 522, 1: 1485, 3: 800, 7: 211, 6: 337, 9: 82, 8: 119, 10: 27, 11: 15, 12: 2}, 8: {12: 678, 4: 106, 11: 927, 9: 825, 6: 306, 5: 207, 10: 749, 7: 554, 8: 582, 3: 39, 2: 25, 1: 2}, 9: {7: 477, 5: 573, 6: 415, 4: 414, 1: 466, 8: 409, 12: 119, 10: 298, 2: 599, 9: 422, 11: 344, 3: 464}, 10: {3: 769, 6: 644, 5: 582, 2: 965, 4: 838, 1: 280, 8: 274, 7: 337, 9: 132, 11: 66, 10: 102, 12: 11}, 11: {9: 641, 11: 802, 10: 825, 8: 510, 12: 1495, 7: 307, 5: 144, 4: 61, 6: 197, 3: 14, 2: 4}}",
2026-05-18T21:55:31Z,10m,2,ntp_10m,EleutherAI/pythia-160m,random_init,1,8631296,8631296,0.00025,8,3.175564765930176,23.940336737628584,"{0: {1: 196, 8: 646, 3: 410, 4: 584, 6: 605, 5: 468, 9: 496, 2: 291, 7: 549, 10: 400, 11: 220, 12: 135}, 1: {3: 637, 1: 1613, 5: 562, 9: 110, 6: 355, 7: 227, 2: 693, 8: 176, 4: 591, 10: 28, 11: 6, 12: 2}, 2: {6: 309, 10: 727, 9: 790, 11: 1109, 8: 526, 12: 644, 7: 540, 2: 24, 5: 199, 4: 93, 3: 38, 1: 1}, 3: {5: 538, 7: 519, 2: 542, 3: 494, 9: 388, 6: 535, 1: 401, 10: 291, 11: 301, 4: 441, 12: 49, 8: 501}, 4: {7: 351, 6: 665, 2: 831, 8: 299, 4: 761, 3: 809, 11: 60, 9: 126, 5: 595, 1: 383, 10: 116, 12: 4}, 5: {10: 978, 12: 1559, 11: 977, 9: 532, 6: 153, 7: 275, 5: 104, 8: 360, 4: 47, 2: 3, 3: 12}, 6: {12: 144, 4: 594, 8: 628, 6: 504, 7: 593, 10: 405, 5: 521, 9: 456, 3: 430, 2: 327, 1: 161, 11: 237}, 7: {4: 492, 2: 789, 7: 236, 3: 738, 1: 1553, 5: 570, 8: 148, 6: 344, 9: 90, 11: 14, 10: 25, 12: 1}, 8: {11: 943, 9: 803, 12: 768, 8: 531, 10: 723, 5: 199, 6: 274, 4: 114, 7: 559, 3: 65, 2: 21}, 9: {8: 486, 1: 405, 7: 596, 5: 578, 10: 258, 9: 410, 4: 410, 12: 52, 3: 519, 2: 529, 6: 468, 11: 289}, 10: {2: 947, 5: 576, 8: 261, 4: 836, 1: 287, 3: 834, 10: 106, 6: 632, 7: 315, 9: 127, 11: 73, 12: 6}, 11: {9: 672, 11: 771, 10: 943, 7: 240, 12: 1636, 6: 156, 4: 37, 8: 438, 5: 90, 2: 3, 3: 14}}",
2026-05-18T22:13:28Z,10m,3,ntp_10m,EleutherAI/pythia-160m,random_init,1,8631296,8631296,0.00025,8,3.176239252090454,23.95648961026267,"{0: {1: 175, 8: 686, 4: 575, 5: 472, 3: 441, 7: 527, 9: 505, 6: 555, 2: 277, 10: 434, 12: 131, 11: 222}, 1: {2: 719, 1: 1603, 6: 309, 4: 657, 7: 244, 5: 557, 3: 656, 8: 150, 9: 72, 12: 1, 10: 27, 11: 5}, 2: {5: 215, 10: 804, 9: 705, 8: 565, 12: 620, 6: 309, 7: 582, 11: 1017, 3: 57, 4: 106, 2: 18, 1: 2}, 3: {3: 476, 6: 546, 10: 344, 7: 447, 1: 379, 11: 370, 5: 491, 8: 518, 2: 546, 12: 82, 9: 405, 4: 396}, 4: {7: 366, 4: 733, 5: 564, 8: 298, 2: 828, 3: 794, 10: 96, 9: 148, 6: 659, 11: 57, 1: 455, 12: 2}, 5: {10: 848, 11: 916, 12: 1598, 9: 559, 7: 295, 6: 168, 8: 402, 5: 129, 4: 60, 3: 24, 2: 1}, 6: {11: 238, 5: 547, 8: 562, 7: 599, 10: 448, 9: 491, 6: 528, 4: 585, 12: 139, 2: 255, 3: 437, 1: 171}, 7: {6: 327, 3: 777, 2: 830, 5: 592, 4: 529, 8: 108, 1: 1507, 7: 213, 10: 21, 9: 87, 12: 2, 11: 7}, 8: {12: 655, 9: 816, 10: 726, 11: 981, 8: 519, 7: 579, 4: 113, 6: 316, 3: 71, 5: 196, 2: 26, 1: 2}, 9: {8: 451, 2: 548, 7: 521, 1: 358, 6: 443, 11: 382, 10: 312, 3: 504, 4: 394, 9: 438, 5: 564, 12: 85}, 10: {4: 791, 7: 356, 6: 667, 3: 748, 2: 948, 5: 550, 1: 348, 9: 145, 8: 285, 10: 93, 11: 68, 12: 1}, 11: {9: 629, 12: 1684, 11: 737, 10: 847, 6: 173, 5: 123, 7: 271, 8: 456, 4: 61, 3: 15, 2: 4}}",
2026-05-18T22:31:18Z,10m,1,ntp_10m_for_nsp,EleutherAI/pythia-160m,random_init,1,4300800,4300800,0.00025,8,3.512622594833374,33.53610416749833,"{0: {1: 202, 8: 645, 2: 306, 4: 597, 6: 681, 9: 408, 5: 540, 10: 338, 3: 442, 7: 687, 12: 51, 11: 103}, 1: {3: 705, 1: 1333, 4: 650, 5: 601, 2: 716, 9: 114, 8: 175, 6: 421, 7: 248, 10: 30, 12: 1, 11: 6}, 2: {7: 329, 11: 1320, 10: 837, 8: 485, 6: 180, 12: 830, 9: 865, 5: 90, 4: 48, 3: 15, 2: 1}, 3: {4: 477, 7: 555, 1: 390, 2: 490, 8: 620, 10: 345, 9: 351, 6: 548, 5: 531, 11: 175, 3: 509, 12: 9}, 4: {6: 555, 4: 671, 3: 739, 1: 636, 7: 322, 2: 894, 8: 266, 9: 144, 5: 572, 10: 129, 11: 63, 12: 9}, 5: {11: 919, 12: 1595, 9: 520, 6: 189, 8: 379, 10: 947, 5: 109, 7: 277, 3: 15, 4: 50}, 6: {10: 312, 5: 602, 6: 633, 8: 611, 3: 443, 4: 635, 7: 684, 9: 423, 11: 112, 2: 319, 1: 196, 12: 30}, 7: {5: 599, 3: 877, 2: 792, 1: 1280, 7: 261, 6: 380, 10: 32, 4: 518, 8: 153, 9: 102, 11: 5, 12: 1}, 8: {12: 833, 9: 919, 11: 1261, 10: 755, 8: 472, 7: 388, 6: 183, 5: 105, 3: 20, 2: 5, 4: 59}, 9: {9: 343, 2: 528, 8: 539, 6: 486, 1: 359, 3: 526, 11: 161, 10: 345, 5: 621, 7: 636, 4: 450, 12: 6}, 10: {2: 948, 6: 553, 7: 337, 1: 604, 5: 518, 4: 782, 3: 695, 8: 252, 10: 114, 11: 57, 9: 134, 12: 6}, 11: {8: 403, 10: 816, 12: 1629, 9: 677, 7: 276, 5: 112, 11: 818, 6: 191, 4: 63, 3: 14, 2: 1}}",
2026-05-18T22:50:05Z,10m,1,nsp_10m,EleutherAI/pythia-160m,./models/pythia/ntp_10m_nsp_model_run1,1,10407009,10407009,0.00025,8,2.839860439300537,17.113377015611416,"{0: {1: 43, 10: 494, 7: 539, 6: 652, 8: 656, 5: 587, 3: 355, 9: 548, 4: 492, 2: 229, 12: 180, 11: 225}, 1: {3: 625, 2: 756, 5: 433, 1: 1672, 4: 570, 11: 39, 9: 160, 10: 63, 6: 310, 8: 164, 7: 206, 12: 2}, 2: {4: 136, 11: 913, 9: 721, 7: 530, 8: 523, 10: 634, 12: 767, 5: 269, 6: 386, 1: 1, 2: 33, 3: 87}, 3: {2: 611, 7: 437, 1: 570, 3: 444, 10: 340, 4: 458, 11: 371, 9: 401, 12: 81, 8: 382, 6: 474, 5: 431}, 4: {6: 511, 3: 859, 1: 339, 8: 351, 2: 801, 5: 563, 4: 782, 9: 166, 7: 386, 11: 79, 10: 144, 12: 19}, 5: {8: 449, 12: 1384, 10: 860, 7: 372, 11: 875, 5: 164, 9: 481, 4: 98, 3: 37, 6: 275, 2: 5}, 6: {11: 284, 4: 503, 10: 522, 3: 368, 5: 581, 9: 490, 6: 604, 12: 184, 2: 216, 7: 597, 8: 603, 1: 48}, 7: {7: 244, 1: 1571, 2: 825, 4: 473, 3: 738, 6: 293, 9: 151, 5: 437, 10: 81, 8: 155, 11: 30, 12: 2}, 8: {12: 859, 8: 516, 9: 708, 11: 863, 7: 530, 10: 636, 3: 106, 6: 322, 5: 279, 4: 150, 2: 31}, 9: {9: 422, 6: 388, 5: 476, 4: 452, 1: 518, 10: 310, 11: 373, 12: 92, 7: 475, 3: 494, 8: 372, 2: 628}, 10: {5: 591, 8: 355, 2: 859, 6: 540, 3: 852, 4: 808, 7: 353, 1: 237, 11: 92, 10: 146, 12: 20, 9: 147}, 11: {10: 770, 9: 605, 12: 1410, 11: 856, 7: 331, 8: 474, 5: 189, 4: 78, 6: 245, 2: 6, 3: 35, 1: 1}}",
2026-05-18T23:11:08Z,10m,2,ntp_10m_for_nsp,EleutherAI/pythia-160m,random_init,1,4300800,4300800,0.00025,8,3.5174500942230225,33.698391094748004,"{0: {1: 172, 4: 618, 6: 707, 8: 731, 9: 404, 5: 579, 2: 393, 10: 219, 3: 448, 7: 684, 11: 37, 12: 8}, 1: {5: 606, 2: 576, 1: 1409, 7: 327, 6: 455, 4: 624, 8: 212, 3: 613, 10: 41, 9: 124, 12: 2, 11: 11}, 2: {7: 286, 9: 940, 11: 1394, 12: 874, 10: 775, 8: 405, 3: 9, 6: 155, 4: 43, 5: 118, 2: 1}, 3: {3: 485, 5: 514, 7: 484, 4: 449, 10: 390, 1: 495, 11: 135, 8: 633, 2: 556, 9: 341, 6: 499, 12: 19}, 4: {6: 638, 8: 286, 2: 857, 9: 119, 3: 801, 4: 740, 5: 573, 1: 501, 7: 341, 11: 34, 10: 109, 12: 1}, 5: {11: 993, 12: 1557, 10: 1087, 9: 521, 6: 142, 5: 95, 7: 246, 8: 296, 4: 53, 3: 9, 2: 1}, 6: {10: 245, 3: 500, 8: 680, 2: 388, 7: 781, 6: 633, 12: 8, 5: 591, 4: 643, 1: 133, 9: 353, 11: 45}, 7: {4: 514, 6: 430, 5: 604, 3: 697, 1: 1328, 2: 706, 7: 380, 8: 162, 9: 121, 10: 45, 11: 13}, 8: {12: 991, 11: 1263, 5: 135, 8: 401, 10: 696, 7: 308, 9: 989, 4: 37, 6: 162, 3: 18}, 9: {9: 346, 1: 489, 3: 600, 7: 610, 5: 549, 11: 120, 8: 546, 4: 436, 6: 418, 2: 531, 10: 338, 12: 17}, 10: {2: 990, 7: 309, 6: 581, 5: 529, 4: 792, 1: 473, 3: 803, 8: 296, 11: 39, 10: 81, 9: 106, 12: 1}, 11: {8: 352, 10: 974, 12: 1522, 6: 180, 11: 916, 9: 636, 7: 244, 3: 17, 5: 107, 4: 51, 2: 1}}",
2026-05-18T23:33:52Z,10m,2,nsp_10m,EleutherAI/pythia-160m,./models/pythia/ntp_10m_nsp_model_run2,1,10407009,10407009,0.00025,8,2.832725763320923,16.991713147918905,"{0: {1: 81, 5: 550, 4: 545, 7: 522, 6: 670, 9: 558, 10: 428, 8: 605, 2: 294, 11: 225, 3: 375, 12: 147}, 1: {2: 714, 7: 290, 1: 1570, 6: 334, 8: 200, 3: 621, 10: 84, 5: 411, 4: 571, 9: 164, 11: 37, 12: 4}, 2: {6: 391, 12: 756, 9: 644, 11: 1036, 10: 676, 8: 507, 7: 486, 5: 251, 2: 24, 4: 138, 3: 91}, 3: {4: 437, 3: 503, 1: 557, 5: 445, 7: 471, 9: 421, 6: 451, 11: 312, 8: 423, 2: 569, 10: 360, 12: 51}, 4: {7: 388, 8: 366, 6: 483, 2: 822, 10: 160, 5: 543, 3: 832, 4: 677, 11: 115, 1: 395, 9: 204, 12: 15}, 5: {10: 840, 11: 840, 12: 1447, 5: 213, 8: 358, 6: 267, 7: 374, 9: 482, 4: 117, 3: 52, 2: 9, 1: 1}, 6: {11: 238, 2: 269, 7: 584, 8: 562, 5: 642, 9: 473, 6: 561, 10: 497, 4: 548, 12: 153, 3: 406, 1: 67}, 7: {5: 441, 4: 499, 3: 716, 6: 334, 1: 1459, 2: 787, 7: 287, 8: 178, 10: 86, 11: 41, 9: 167, 12: 5}, 8: {12: 826, 9: 678, 11: 974, 10: 615, 6: 329, 5: 254, 8: 549, 7: 514, 4: 144, 3: 86, 2: 30, 1: 1}, 9: {8: 423, 1: 565, 5: 535, 4: 422, 7: 429, 11: 317, 2: 542, 12: 63, 10: 338, 6: 420, 3: 518, 9: 428}, 10: {3: 763, 6: 487, 8: 380, 4: 780, 1: 304, 2: 931, 11: 105, 5: 514, 10: 172, 9: 203, 7: 338, 12: 23}, 11: {9: 578, 10: 744, 12: 1510, 11: 760, 8: 449, 7: 317, 5: 201, 6: 273, 3: 37, 4: 122, 2: 9}}",
2026-05-18T23:51:06Z,10m,3,ntp_10m_for_nsp,EleutherAI/pythia-160m,random_init,1,4300800,4300800,0.00025,8,3.5119147300720215,33.51237354115309,"{0: {2: 357, 3: 396, 7: 601, 5: 526, 8: 765, 1: 222, 6: 657, 11: 110, 9: 487, 4: 526, 10: 325, 12: 28}, 1: {5: 583, 1: 1319, 4: 690, 3: 768, 2: 716, 8: 162, 6: 413, 10: 22, 7: 240, 9: 82, 11: 4, 12: 1}, 2: {7: 358, 9: 799, 11: 1354, 12: 834, 8: 514, 10: 815, 5: 89, 6: 183, 4: 37, 3: 16, 2: 1}, 3: {3: 515, 5: 548, 6: 593, 4: 488, 9: 362, 7: 549, 1: 352, 10: 318, 8: 580, 2: 494, 11: 189, 12: 12}, 4: {6: 648, 7: 295, 8: 257, 2: 827, 4: 728, 5: 524, 3: 770, 10: 101, 1: 662, 9: 142, 11: 43, 12: 3}, 5: {11: 921, 10: 1021, 12: 1567, 7: 290, 8: 332, 9: 554, 6: 161, 5: 103, 4: 40, 3: 10, 2: 1}, 6: {10: 385, 8: 585, 5: 606, 7: 771, 2: 350, 9: 432, 6: 594, 4: 538, 3: 435, 1: 174, 11: 112, 12: 18}, 7: {4: 590, 1: 1309, 6: 370, 3: 837, 2: 787, 5: 619, 7: 240, 8: 140, 9: 81, 10: 21, 11: 6}, 8: {12: 927, 11: 1211, 9: 962, 10: 693, 7: 400, 5: 113, 8: 487, 6: 142, 3: 17, 4: 46, 2: 2}, 9: {8: 527, 2: 462, 3: 497, 1: 398, 7: 637, 11: 176, 10: 301, 5: 683, 9: 348, 4: 481, 6: 482, 12: 8}, 10: {1: 564, 6: 585, 2: 1001, 8: 250, 5: 506, 3: 727, 4: 800, 7: 324, 9: 118, 10: 80, 11: 41, 12: 4}, 11: {9: 633, 12: 1598, 10: 918, 8: 401, 11: 833, 7: 295, 6: 172, 5: 100, 4: 36, 2: 2, 3: 12}}",
2026-05-19T00:09:01Z,10m,3,nsp_10m,EleutherAI/pythia-160m,./models/pythia/ntp_10m_nsp_model_run3,1,10407009,10407009,0.00025,8,2.8280177116394043,16.91190330611129,"{0: {2: 306, 8: 617, 3: 379, 6: 645, 9: 506, 5: 555, 4: 524, 7: 494, 10: 492, 12: 154, 1: 81, 11: 247}, 1: {1: 1475, 9: 171, 6: 359, 7: 242, 3: 713, 5: 418, 4: 588, 2: 748, 11: 25, 8: 185, 10: 74, 12: 2}, 2: {7: 466, 12: 696, 9: 680, 11: 1078, 10: 708, 8: 566, 6: 357, 4: 131, 5: 234, 2: 16, 3: 68}, 3: {4: 434, 2: 577, 1: 579, 5: 465, 3: 425, 10: 363, 11: 358, 6: 451, 7: 455, 9: 420, 8: 422, 12: 51}, 4: {5: 587, 6: 548, 4: 748, 8: 288, 2: 803, 3: 810, 1: 434, 11: 92, 10: 147, 7: 351, 9: 180, 12: 12}, 5: {9: 467, 10: 782, 12: 1492, 5: 166, 8: 451, 6: 272, 7: 433, 11: 795, 4: 88, 3: 41, 2: 13}, 6: {8: 548, 1: 67, 7: 576, 2: 269, 9: 514, 10: 489, 3: 405, 11: 282, 6: 601, 5: 581, 4: 518, 12: 150}, 7: {3: 774, 2: 793, 4: 512, 1: 1431, 9: 161, 5: 506, 7: 252, 6: 289, 8: 177, 11: 25, 10: 78, 12: 2}, 8: {11: 922, 5: 243, 10: 670, 8: 543, 9: 753, 7: 530, 12: 809, 3: 76, 4: 137, 6: 298, 2: 18, 1: 1}, 9: {10: 382, 4: 424, 7: 490, 8: 387, 1: 598, 11: 333, 12: 65, 9: 438, 5: 487, 3: 457, 6: 384, 2: 555}, 10: {6: 537, 7: 316, 4: 804, 5: 549, 1: 334, 8: 332, 2: 899, 10: 140, 3: 816, 9: 157, 11: 103, 12: 13}, 11: {12: 1554, 11: 740, 9: 553, 6: 259, 7: 395, 5: 209, 8: 484, 10: 675, 4: 92, 3: 36, 2: 3}}",
